Episodes,Remaining Fuel,Exposure,Total Burned
1000,6896,672,0
1000,665,13484,455
1000,6935,671,0
1000,911,5096,500
1000,6927,582,0
1000,806,6017,500
1000,6909,669,0
1000,6917,717,0
1000,6928,691,0
1000,780,8631,475
1500,6833,826,0
1500,6873,766,0
1500,6747,981,0
1500,6813,869,0
1500,830,7684,480
1500,6827,783,0
1500,501,9601,495
1500,6924,636,0
1500,6815,874,0
1500,500,9118,495
2000,6011,2709,60
2000,923,4906,480
2000,5776,3033,65
2000,6931,626,0
2000,6923,699,0
2000,6891,709,0
2000,836,6806,470
2000,6860,730,0
2000,6825,772,0
2000,6942,602,0
2500,6941,646,0
2500,6904,653,0
2500,5872,2764,65
2500,5369,4628,105
2500,6921,610,0
2500,6817,804,0
2500,6941,627,0
2500,6913,696,0
2500,6799,899,0
2500,6914,707,0
